3LEX,L,H,P
3LEY,L,H,P
3MAC,L,H,A
3MJ9,L,H,A
3MLT,L,H,P
3MLW,L,H,P
3MLZ,L,H,P
3MXW,L,H,A
3NFP,L,H,I
3NGB,C,B,A
3NH7,O,K,D
3O2D,L,H,A
3P0Y,L,H,A
3PGF,L,H,A
3PNW,A,B,C
3PP4,L,H,P
3QG6,A,B,D
3QNZ,A,B,C
3QWO,L,H,P
3S35,L,H,X
3SDY,L,H,B;A
3SE8,L,H,G
3SKJ,L,H,E
3SO3,B,C,A
3SOB,L,H,B
3THM,L,H,F
3U0T,C,D,E
3U4E,L,H,G
3UJJ,L,H,P
3V6O,E,C,A
3VG9,B,C,A
3VI3,E,F,B
3W9E,B,A,C
3WIH,L,H,A
3WKM,L,H,A
3X3F,L,H,A
3ZKN,L,H,A
4AEI,L,H,A
4AG4,L,H,A
4BZ2,L,H,A
4CMH,C,B,A
4D3C,L,H,A
4D9R,L,H,A
4DKE,M,I,B
4DKF,L,H,A
4DTG,L,H,K
4DW2,L,H,U
4EDX,L,H,V
4F15,L,K,J
4F2M,D,C,F
4F3F,A,B,C
4FFY,L,H,A
4FQI,L,H,B;A
4FQJ,L,H,A
4G3Y,L,H,C
4GAJ,L,H,P
4GLR,K,J,B
4H88,L,H,A
4H8W,L,H,G
4HC1,N,M,B
4HCR,N,M,B
4HIX,L,H,A
4HJ0,D,C,B
4HLZ,J,I,D;C
4HPY,L,H,P
4HS6,A,B,Z
4HS8,L,H,A
4HT1,L,H,T
4IJ3,B,C,A
4J8R,A,B,I
4JG0,L,H,P
4JO1,L,H,P
4JO3,M,I,Q
4JPV,L,H,G
4JPW,L,H,G
4JQI,L,H,A;V
4JRE,L,H,D
4JZN,P,I,K
4JZO,H,G,L
4K9E,L,H,C
4KI5,F,E,M
4KRP,C,D,A
4KUC,D,H,A
4KXZ,M,N,E
4LEO,B,A,C
4LIQ,L,H,E
4LKX,B,A,R
4LQF,L,H,A
4LSU,L,H,G
4LU5,M,I,A
4LVH,L,K,J
4LVN,B,C,A
4M1D,M,I,Q
4M1G,L,H,B;A
4M5Z,L,H,A
4MWF,B,A,D
4N8C,L,H,X
4O58,L,H,A
4OGX,L,H,A
4OII,M,I,B
4OT1,L,H,A
4P3C,L,H,M
4P9H,L,H,G
4PY8,J,I,B;A
4Q0X,L,H,E
4QHU,A,B,D
4QTI,L,H,U
4QWW,C,D,B
4R8W,L,H,B;A
4RDQ,F,G,E
4RIS,L,H,P
4RWY,L,H,A
4TQE,L,H,A
4TUL,L,H,I
4UTA,L,H,B
4UV7,L,H,A
4WV1,A,B,C
4XAK,E,D,B
4XNM,A,B,D
4XVJ,L,H,A
4XVT,L,H,G
4XVU,D,C,B
4XZU,F,E,G
4Y5V,E,D,F
4Y5Y,E,D,F
4YDK,L,H,G
4YDV,L,H,P
4YE4,L,H,G
4YPG,L,H,D
4YQX,L,H,A
4YR6,B,A,C
4Z0X,A,B,C
4Z5R,V,W,F
4ZFF,B,A,C
4ZFO,B,A,F
4ZPT,L,H,S
4ZS7,L,H,A
4ZSO,C,D,F
5A3I,H,G,E
5AUM,B,A,D
5BJZ,H,D,B
5BO1,M,I,A
5BV7,B,C,A
5CZX,L,H,A
5D72,N,M,B
5D8J,L,H,A
5DD0,L,H,P
5DLM,L,H,X
5DMG,F,E,X
5DSC,F,E,M
5DUR,L,H,C
5EA0,L,H,P
5EII,L,H,G
5EN2,B,A,C
5EOC,M,J,Q
5EOQ,L,H,A
5EOR,L,H,A
5EPM,B,A,C
5EU7,D,F,B
5F3B,F,E,D
5F96,L,H,G
5FB8,A,B,C
5FCU,L,H,G
5FGB,B,E,G
5GGT,L,H,A
5GGV,L,H,Y
5GJS,L,H,B;A
5GMQ,C,B,A
5GZO,D,C,B
5I9Q,C,B,A
5IF0,B,A,I
5JHL,L,H,A
5K59,F,E,B
5KJR,L,H,G
5KN5,E,D,F
5KVG,L,H,E
5KW9,L,H,A
5KZP,J,F,C
5L6Y,L,H,C
5LCV,L,H,A;B
5MP5,B,A,K
5MVZ,L,H,U
5NUZ,L,H,D
5O14,D,C,B
5O1R,L,H,A
5OTJ,L,H,C
5TBD,F,E,I
5TFW,L,H,O
5TH9,N,J,C
5TIH,L,H,A
5TKJ,K,J,L
5TKK,L,H,A
5TLK,E,F,Y
5TZ2,L,H,C
5TZT,L,H,C
5TZU,L,H,C
5U3J,L,H,A
5U3K,B,A,C
5UEM,L,H,G
5UGY,M,I,C
5UKR,L,H,G
5USH,E,D,A
5USL,L,H,X
5UTZ,G,F,E
5V6M,L,H,P
5VCN,E,F,A
5VCO,C,D,E
5VEB,L,H,Y
5VIG,L,H,Z
5VJQ,D,C,J
5VKD,L,H,A
5VQM,C,D,B
5VXR,L,H,P
5VYF,A,B,C
5W06,L,H,T
5WHK,L,H,A;B
5WI9,L,H,A
5WT9,L,H,G
5WUX,D,C,G
5X08,L,H,P
5X0T,B,A,E
5X2O,K,J,C;D
5X8M,C,B,A
5XCU,E,D,F
5XEZ,L,H,B
5XKU,B,C,A
5XMH,L,H,A
5XXY,L,H,A
5Y11,B,A,C
5Y9J,L,H,A
5YE4,B,A,E
5YY5,L,H,A
5ZIA,L,G,R
6A67,D,C,B
6A77,L,H,A
6AL5,L,H,A
6AOD,A,B,C
6AXL,C,D,G
6AZM,A,B,E
6AZZ,E,F,D
6B0A,L,H,A
6B5R,L,H,A
6BB4,M,I,Q
6BCK,L,H,G
6BFQ,L,H,K
6BFS,L,H,C
6BKB,L,H,E
6BLI,E,D,F
6BPA,F,E,D
6BZW,D,C,I
6BZY,L,H,B
6C6Z,L,H,B
6CBV,L,H,B
6CEZ,L,H,P
6CF2,B,A,F;G
6CMG,B,C,A
6CT7,L,H,S
6CW2,B,A,D;C
6CW3,D,C,F;E
6CXG,L,H,A
6CXY,L,H,C
6CYF,E,F,B
6D0X,B,A,C
6D2P,L,H,C
6DC8,L,H,P
6DC9,L,H,P
6DCA,N,J,R
6DCW,L,H,T
6DDV,A,B,C
6DKJ,L,H,C
6E3H,L,H,B;A
6E4Y,L,H,P
6E62,L,H,P
6ELU,L,K,J
6F7T,A,B,D
6FAX,L,H,R
6FGB,L,H,A;B
6FLB,L,H,G
6FLC,A,B,I
6FY3,L,H,P
6GKU,L,H,A
6H06,F,E,J
6H2Y,L,H,D
6H3T,M,I,B
6HX4,L,H,B
6HXW,D,C,B
6IAP,L,H,A
6ICC,L,H,A
6IEA,L,H,A
6IEB,L,H,A
6IEK,C,B,A
6ION,L,H,A
6J11,G,F,B
6J15,L,H,D
6J6Y,C,B,A
6K65,L,H,A
6KTR,B,A,C
6KVA,l,h,b
6KX1,B,A,C
6LDV,L,H,P
6LDX,L,H,B
6LGW,D,C,F
6LRA,L,H,C
6LXJ,F,E,B
6LZ4,B,A,C
6LZ9,L,H,B
6M2R,L,H,A
6M3B,B,C,A
6MEJ,L,H,C
6MFT,B,A,C
6MG7,L,H,G
6MHR,B,A,C
6ML8,L,H,A
6MLK,L,H,A
6MNQ,L,H,P
6MNS,B,A,Q
6MQC,B,A,D
6MQE,B,A,D
6MQS,D,C,F
6MTJ,E,D,B
6MTN,L,H,G
6MTO,L,H,T
6MTP,L,H,P
6MTT,L,H,P
6MVL,L,H,A
6N5E,F,G,B
6N6B,L,K,A
6N81,L,H,A
6NMR,B,A,E
6NMT,A,B,C
6NMU,A,B,C
6NMV,L,H,S
6NYQ,L,H,C
6O1F,L,H,A;I
6O23,D,C,E
6O24,B,A,I
6O25,B,A,D;G
6O3B,E,G,H
6O42,L,H,G
6O9H,B,A,C
6OGX,D,C,G
6OHG,B,C,A
6OKM,L,H,R
6OOR,L,H,A
6OSH,L,H,K
6OSV,L,H,K
6OY4,C,D,A
6OZ2,L,H,G
6P8D,B,A,C
6PBV,C,D,I
6PBW,C,D,E
6PCU,H,I,G
6PDR,L,H,A
6PDU,L,H,C
6PE8,L,H,T
6PEC,L,H,A
6PEF,B,A,C
6PHB,C,D,I
6PHC,B,A,I
6PI7,B,C,A
6PLH,A,B,C
6PLK,L,H,E
6PPG,L,H,F
6PXR,L,H,A
6PZE,L,H,A
6Q0H,L,H,A
6QB6,L,H,A
6R8X,B,C,A
6RP8,l,h,c
6S3D,D,C,M
6SS2,L,H,A
6SS4,L,H,A
6T9E,B,A,C
6TYB,L,H,G
6U36,L,H,B
6UBI,E,D,F
6ULE,B,A,I
6UOE,L,H,P
6UUD,L,H,A
6UYF,L,H,E
6UYN,L,H,B;A
6VBP,I,J,K
6VBQ,F,E,J
6VEP,P,O,Q
6VGR,D,C,A
6VJN,L,H,G;F
6VMJ,E,F,Y
6VVU,K,J,B
6W05,L,H,P
6WFX,L,H,P
6WFY,L,H,P
6WG0,L,H,P
6WG1,L,H,C
6WG2,L,H,P
6WH9,F,E,D
6WHK,B,C,A
6WIT,L,H,I
6WMW,L,H,B
6WO3,L,H,E
6WO4,L,H,E
6WTU,I,H,G
6WZK,B,A,E
6X1V,L,H,D
6X78,L,H,G
6X7W,C,A,D
6X8Q,L,H,P
6XC3,A,B,C
6XC7,D,C,A
6XCJ,L,H,G
6XKP,N,M,B
6XKQ,L,H,A
6XKR,L,H,P
6XLI,B,A,E
6XLZ,L,H,P;A
6XQ0,C,B,A
6XSN,L,H,C
6XSW,B,A,C
6XZW,L,H,D
6YAX,M,I,B
6YE3,E,D,F
6YXD,L,H,A
6YXK,B,A,C
6YXM,L,H,B
6Z7Y,A,B,H;G
6ZTR,L,H,I
6ZVF,L,H,P
7A0Y,F,E,B
7AHU,A,B,E;F
7BEI,L,H,E
7BEJ,L,H,E
7BEP,F,D,C
7BNV,L,H,A
7BQ5,L,H,A
7BWJ,L,H,E
7BXV,L,H,A
7C61,L,H,A
7C88,B,A,C
7CDI,L,H,E
7CHB,L,H,R
7CHF,B,A,R
7CHO,L,H,E
7CJ2,D,C,A
7CR5,L,H,A
7D85,C,B,A
7DAA,L,H,A
7DC8,A,B,C
7DHA,B,C,A
7DM1,C,D,A
7DR4,L,H,K
7E3O,L,H,R
7E5O,L,H,A
7E72,B,A,E
7E7X,L,H,A
7E7Y,D,C,E
7E9B,L,H,C
7EAN,L,H,A
7F7E,L,C,E
7JIE,D,C,B
7JKT,L,H,G
7JTG,B,A,E
7JWP,L,K,V
7K7R,D,E,F
7KEZ,L,H,V
7KLH,L,H,A
7KMH,B,A,C
7KMI,B,A,C
7KPB,L,H,A;C
7KQ7,L,H,B
7KQG,C,B,A
7KQL,L,H,T
7KYO,L,H,B
7L7E,U,T,b
7LCV,B,A,C
7LF8,L,H,A
7LFA,L,H,C
7LFB,L,H,X
7LJA,F,G,B
7LKG,E,D,F
7LKI,E,D,F
7LM9,L,H,A
7LR3,B,A,C
7LY3,E,F,B
7M3I,L,H,R
7M51,L,H,A
7M7W,D,C,S
7MDJ,B,A,C
7MMO,B,A,C
7MSQ,E,D,B
7MWW,L,H,E
7MZF,L,H,A
7MZG,L,H,A
7MZH,C,B,A
7MZK,L,H,A
7N05,L,H,E
7N08,L,H,F
7N0U,L,H,C
7N3D,L,H,C
7N3I,L,H,C
7N4I,L,H,C
7N4J,L,H,A
7NEG,L,H,E
7NP1,M,I,B
7NX3,D,E,A
7NX7,L,H,E
7NXA,B,A,E
7O2Z,L,H,P
7O33,L,H,P
7O52,L,H,U
7O9S,L,H,A
7ORB,F,E,X
7PHW,F,E,D
7PI7,F,E,D
7PQY,L,H,E
7PS1,B,A,E
7PS2,L,H,G
7PS6,L,H,E
7Q0I,L,H,C
7QNW,B,A,E
7QU1,B,A,C
7QU2,B,A,C
7R6W,B,A,R
7R8L,L,H,E
7RCO,E,F,A
7RD3,L,H,D
7RFB,B,A,C
7RKS,L,H,R
7RNJ,L,H,B
7RQR,B,A,C
7RTA,L,H,N
7RXJ,B,A,G
7RXP,L,H,A
7S11,O,K,F
7S13,M,I,C
7SEM,C,B,F
7SHY,D,C,A
7SJS,L,H,C
7TN0,N,M,S
7TP4,L,H,Z
7VUX,L,H,A
7VYR,L,H,R
7WKX,C,A,F
